,State Name,Alpha Code,State FIPS Code,County Name,County FIPS Code
0,Alabama,AL,01,Autauga County,001
1,Alabama,AL,01,Baldwin County,003
2,Alabama,AL,01,Barbour County,005
3,Alabama,AL,01,Bibb County,007
4,Alabama,AL,01,Blount County,009
5,Alaska,AK,02,Aleutians East Borough,013
6,Alaska,AK,02,Anchorage,020
7,Alaska,AK,02,Bristol Bay Borough,060
8,Alaska,AK,02,Denali Borough,068
9,Alaska,AK,02,Fairbanks North Star Borough,090
10,Arizona,AZ,04,Apache County,001
11,Arizona,AZ,04,Cochise County,003
12,Arizona,AZ,04,Coconino County,005
13,Arizona,AZ,04,Gila County,007
14,Arizona,AZ,04,Graham County,009
