"Symbol","Description","Category2","GICS Sector","Market cap","Market Cap Weight","Index Weight","Dividend yield","Country","Action"
"UNH","Unitedhealth Group Inc","Common stocks","Health Care","$505,215,796,445","4.43%","9.69%","1.08%","USA","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Financials","$106,159,134,666","0.93%","6.27%","2.29%","USA","Analyze"
"MSFT","Microsoft Corp","Common stocks","Information Technology","$2,259,330,635,406","19.82%","5.86%","0.78%","USA","Analyze"
"HD","Home Depot Inc","Common stocks","Consumer Discretionary","$312,851,462,042","2.74%","5.69%","2.25%","USA","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Consumer Discretionary","$189,138,208,870","1.66%","4.70%","2.08%","USA","Analyze"
"AMGN","Amgen Inc","Common stocks","Health Care","$134,321,608,582","1.18%","4.59%","2.83%","USA","Analyze"
"CAT","Caterpillar Inc","Common stocks","Industrials","$115,698,230,211","1.02%","4.23%","2.00%","USA","Analyze"
"V","Visa Inc Class A","Common stocks","Information Technology","$476,394,600,000","4.18%","4.21%","0.64%","USA","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Information Technology","$198,158,400,000","1.74%","4.03%","0.00%","USA","Analyze"
"HON","Honeywell International Inc","Common stocks","Industrials","$132,092,324,361","1.16%","3.70%","0.48%","USA","Analyze"
"BA","Boeing","Common stocks","Industrials","$105,070,790,509","0.92%","3.64%","0.00%","USA","Analyze"
"AXP","American Express","Common stocks","Financials","$138,121,923,565","1.21%","3.55%","0.99%","USA","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Financials","$43,974,868,290","0.39%","3.47%","1.92%","USA","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Health Care","$477,895,780,398","4.19%","3.37%","2.31%","USA","Analyze"
"AAPL","Apple Inc","Common stocks","Information Technology","$2,809,228,573,740","24.65%","3.32%","0.51%","USA","Analyze"
"CVX","Chevron Corp","Common stocks","Energy","$325,436,164,117","2.86%","3.09%","3.20%","USA","Analyze"
"PG","Procter & Gamble","Common stocks","Consumer Staples","$384,432,910,526","3.37%","2.90%","2.17%","USA","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Consumer Staples","$434,222,933,815","3.81%","2.83%","1.40%","USA","Analyze"
"MMM","3M","Common stocks","Industrials","$85,347,327,155","0.75%","2.83%","3.90%","USA","Analyze"
"DIS","Walt Disney","Common stocks","Communication Services","$240,086,927,513","2.11%","2.61%","0.00%","USA","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Financials","$385,374,481,548","3.38%","2.59%","2.95%","USA","Analyze"
"NKE","Nike Inc Class B","Common stocks","Consumer Discretionary","$203,104,607,470","1.78%","2.56%","0.89%","USA","Analyze"
"IBM","International Business Machines Co","Common stocks","Information Technology","$115,606,298,700","1.01%","2.47%","5.01%","USA","Analyze"
"MRK","Merck & Co Inc","Common stocks","Health Care","$219,414,039,242","1.92%","1.56%","3.05%","USA","Analyze"
"DOW","Dow Inc.","Common stocks","Materials","$45,024,008,496","0.40%","1.21%","4.49%","USA","Analyze"
"KO","Coca-Cola","Common stocks","Consumer Staples","$275,012,077,725","2.41%","1.18%","2.65%","USA","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Information Technology","$226,942,197,840","1.99%","1.06%","2.70%","USA","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Communication Services","$221,099,372,278","1.94%","0.97%","5.94%","USA","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Information Technology","$194,456,722,962","1.71%","0.94%","2.93%","USA","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Consumer Staples","$38,964,820,961","0.34%","0.85%","4.15%","USA","Analyze"
